Park Name,Address,City,Lat,Lon,Quadrant,Type Of Park,Acres,TurfAcres,Parking Lots,# of Parking Spaces,# of Handicap Spaces,# of Drinking Fountains,Restroom,RR Season,Picnic Area,Reservable,Picnic Shelter,Playground,# of Tennis Courts,# of Lighted Tennis Courts,# of Basketball Courts,# of Volleyball Courts,# of Softball Fields,# of Lighted Softball Fields,# of Little League Fields,# of Lighted LL Fields,# of Soccer Fields,Soccer Field Type,Trails,Trail Surface,Horseshoes,Swimming Pool,Pool Type,Water Body,Parcourse,Water Play Feature,Rentable Shelters,Other Ammenities
Aimone Park,55 Queen Way,Sparks,39.560695,-119.743714,,Neighborhood,3.6,,Yes,,,,0,,Yes,,,Yes,2,2,0,0,1,,0,0,,,Yes,,0,0,,,0,,,"canopy, tables,"
Alf Sorensen Community Center,1400 Baring Blvd,Sparks,39.5590433,-119.7184638,,Special Use,2.2,,Yes,,,,Yes,,0,,,Yes,,,0,0,,,0,0,,,0,,,Yes,,,,,,"gym, meeting rooms, fitness center, tot pool, kitchen,"
Ambrose Park,"River Lane at Rainshadow Lane, Reno",,39.5094355,-119.8749622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anderson ES,1055 Berrum Lane,Reno,39.494597,-119.809644,SW,School,1.18,0.74,0,0,0,0,0,,0,0,0,0,0,0,4,0,0,0,0,0,1,Youth Practice,0,,0,0,,,0,0,,
Anderson Park,"Del Monte Lane near Davis Lane, Reno",,39.463714,-119.795437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antelope Ridge Park,"1900 Primio Way, (Future Park)",Sparks,39.548568,-119.697363,,Neighborhood,3,,Yes,,,,0,,Yes,,,Yes,0,0,0,0,0,0,0,0,,,Yes,,0,0,,,0,,,"canopy, shade,"
Ardmore Park,1200 12th Street,Sparks,39.5450272,-119.757254,,Special Use,3.7,,Yes,,,,Yes,,Yes,,,Yes,,,1,0,,,0,0,,,Yes,,Yes,,,,,,,"meeting rooms, fitness center, canopy, benches, dance, aerobics, teen center,"
ArrowCreek Park,"2950 Arrowcreek Parkway, Reno",,39.404818,-119.80148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bailey Creek Park,"14770 Granite Mine Court, Reno",,39.389953,-119.72613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandstand Park,1519 Victorian Avenue,Sparks,39.53504,-119.762352,,Pocket,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"gazebo, transit center"
Barbara Bennett Park,400 Island Ave,Reno,39.523537,-119.817221,SW,Neighborhood,2.84,1.5,Yes,39,2,1,Yes,Yearly,0,0,0,Yes,4,2,2,0,0,0,0,0,0,,0,,0,0,,river,0,0,Yes,
Bartley Ranch Regional Park,6000 Bartley Ranch Road,,39.466004,-119.80412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beck ES,1900 Sharon Dr,Reno,39.504513,-119.826149,SW,School,1.25,1.25,0,0,0,0,0,,0,0,0,0,0,0,3,0,0,0,0,0,1,Youth Practice,0,,0,0,,,0,0,,
Bicentennial Park,10 Ralston St,Reno,39.52427,-119.818987,NW,Neighborhood,1.79,0.6,Yes,20,2,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,Yes,Paved,0,0,,,0,0,,
Billinghurst MS,6685 Chesterfield Lane,Reno,39.52236,-119.893756,NW,School,3.49,2.76,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,2,0,1,Youth Games,0,,0,0,,,0,0,,
Bitterbrush Park,3650 Lepus Drive,Sparks,39.617531,-119.676985,,Neighborhood,2.6,,Yes,,,,0,,0,,,Yes,0,0,0.5,0,0,0,0,0,,,Yes,,0,0,,,0,,,
Bodega Park,1200 Bodega Drive,Sparks,39.58871,-119.723349,,Neighborhood,2.4,,Yes,,,,0,,Yes,,,Yes,0,0,0.5,0,0,0,0,0,,,Yes,,0,0,,,0,,,"grills, canopy, benches,"
Bowers Mansion Regional Park,4005 US Highway 395 North,,39.293658,-119.840294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brodhead Park,5 South Park St,Reno,39.528995,-119.804337,SE,Neighborhood,2.01,0.81,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,Yes,Paved,0,0,,,0,0,,
Burgess Park,1605 Pyramid Way,Sparks,39.5479393,-119.7539388,,Neighborhood,6.1,,Yes,,,,Yes,,Yes,,,Yes,3,3,0,0,1,,0,0,,,0,,0,0,,,0,,,"canopy, benches,"
